# source_commit: bac5eb5528e722ed554d0e8b7659a2c760d51397
# generated: 2026-05-28T20:13:51Z
# generator: paper/data/scripts/q3_unanimous_pass.py
# key_schema: benchmark:agent:contrast:metric
# default_precision: 4
# Full-set vs unanimous-pass-subset paired contrasts in the Table 1 code-arm-vs-cheapest-rival layout. Cost-adj on the unanimous-pass subset uses the cache-floor median recomputed on that subset per the scripts/collect_results.py:_apply_cache_floor_adjustment methodology. _mean_delta_pct is relative % vs rival for cost/input/output metrics; for the 'pass' metric it is Δ in percentage points (mean * 100). wilcoxon_p is paired Wilcoxon signed-rank two-sided.
benchmark,agent,contrast,metric,full_mean_delta_pct,full_mean_delta_abs,full_mean_rival,full_se,full_t,full_wilcoxon_p,full_n,unanimous_majority_mean_delta_pct,unanimous_majority_mean_delta_abs,unanimous_majority_t,unanimous_majority_wilcoxon_p,unanimous_majority_n,unanimous_strict_mean_delta_pct,unanimous_strict_mean_delta_abs,unanimous_strict_t,unanimous_strict_wilcoxon_p,unanimous_strict_n
artifact,claude,code_only-vs-bash_only,cost_adj,-24.5959,-0.025718090860215054,0.10456269408602151,0.0027400971340099203,-9.385831816326386,7.365478099521982e-14,93,-24.7747,-0.025909192028985506,-9.376179596065827,9.684936263603006e-14,92,-24.1209,-0.02444344523809524,-10.401300730528964,2.59238338479656e-13,84
artifact,claude,code_only-vs-bash_only,input_tokens,-33.6312,-22723.293906810035,67566.20788530466,1729.465761113137,-13.13890937753207,1.615259826559344e-15,93,-33.8649,-22837.960144927536,-13.091253254462192,2.3715775742479132e-15,92,-33.2545,-22094.15873015873,-11.95206053004676,5.703087024991339e-14,84
artifact,claude,code_only-vs-bash_only,output_tokens,-2.856,-69.7741935483871,2443.0967741935483,120.6227663094753,-0.5784496217685079,0.7461124411633087,93,-3.1916,-78.06884057971014,-0.6417367584059315,0.6486878175772945,92,-2.2658,-52.51587301587303,-0.5742564983355403,0.8096884516317299,84
artifact,claude,code_only-vs-bash_only,pass,-0.0,-5.968940992608369e-19,0.974910394265233,0.00882711902220627,-6.762048837896466e-17,0.7388826803635273,93,-0.3623,-0.003623188405797102,-0.4452606883725777,0.6547208460185769,92,0.0,0.0,,,84
artifact,codex,code_only-vs-bash_only,cost_adj,-6.6979,-0.0058830860215053765,0.08783425806451613,0.0035187677061483923,-1.6719165664802986,0.25432836650864177,93,-6.7541,-0.005825044943820225,-1.6031755129008787,0.3054225305928413,89,-6.5596,-0.005633716475095786,-1.5230064134905112,0.3561839358475508,87
artifact,codex,code_only-vs-bash_only,input_tokens,-15.754,-7385.258064516129,46878.47311827957,1901.5880390435434,-3.8837318666722105,0.0013864138279823194,93,-14.9602,-6929.426966292135,-3.572436291295922,0.0038964899215567766,89,-14.8629,-6864.39846743295,-3.508713299632284,0.004335899686129992,87
artifact,codex,code_only-vs-bash_only,output_tokens,-2.6956,-33.54480286738348,1244.415770609319,49.85125992981471,-0.6728977946517501,0.6734077805112286,93,-2.1833,-26.4456928838951,-0.5268611577105363,0.603344166111861,89,-1.5881,-19.172413793103413,-0.3791773818216071,0.5159037752965103,87
artifact,codex,code_only-vs-bash_only,pass,2.509,0.025089605734767026,0.9605734767025089,0.015488646318031662,1.6198707891959585,0.10247043485974937,93,0.0,0.0,0.0,1.0,89,0.0,0.0,,,87
swebench,claude,onlycode-vs-baseline,cost_adj,14.4375,0.0739348504166667,0.5121013848333333,0.04180262272085737,1.7686653517023703,0.1201551206319861,100,4.0601,0.01498841632653063,0.40208314403022655,0.8824555767097273,49,-4.0942,-0.012810962162162152,-0.33074932824726533,0.928741315510706,37
swebench,claude,onlycode-vs-baseline,input_tokens,25.9719,171054.65,658613.79,85239.56958849131,2.0067516861687094,0.75175516524754,100,16.5215,69309.43537414966,1.1871522255370153,0.14200449490179423,49,13.1538,41822.09009009009,0.6945883176113165,0.03770278813317418,37
swebench,claude,onlycode-vs-baseline,output_tokens,39.8603,4439.821666666667,11138.46,929.6089876547446,4.776009833841678,4.760390853563277e-10,100,44.2414,3293.700680272109,3.439423645137086,1.782859726517927e-08,49,55.397,3063.2072072072074,3.584234557748206,2.459273673593998e-09,37
swebench,claude,onlycode-vs-baseline,pass,-1.6667,-0.016666666666666666,0.5166666666666666,0.020854366486931897,-0.7991931414991966,0.4653605577573895,100,0.0,0.0,0.0,1.0,49,0.0,0.0,,,37
swebench,codex,onlycode-vs-baseline,cost_adj,-19.9086,-0.12831304333333335,0.64450981,0.020621325594596875,-6.222346994363615,2.016919093053276e-09,100,-15.4971,-0.0810223888888889,-2.5231965026645886,0.006279030217683612,42,-16.8926,-0.08220027777777777,-2.2415648046219045,0.016003866447135806,36
swebench,codex,onlycode-vs-baseline,input_tokens,-24.804,-138324.61666666667,557671.23,24833.115824098117,-5.570167579713703,5.968225746376303e-09,100,-18.7845,-78128.70634920635,-2.1840998642139575,0.014183732939272886,42,-20.3916,-77091.77777777778,-1.904616272766208,0.02832978725200519,36
swebench,codex,onlycode-vs-baseline,output_tokens,-0.7339,-34.646666666666626,4720.983333333334,115.2347443416231,-0.30066163520920103,0.8311895778148274,100,5.1421,192.8571428571429,1.029121922806165,0.2182176745795914,42,4.5907,160.17592592592598,0.7722546035233223,0.27855437609832734,36
swebench,codex,onlycode-vs-baseline,pass,0.3333,0.003333333333333335,0.4633333333333333,0.019816781424796495,0.16820760454885855,0.6970735820526903,100,0.7937,0.007936507936507938,0.5727128425310541,0.5637028616507731,42,0.0,0.0,,,36
