# source_commit: 050947f44fb7dec5793e05700cd01bdd5942ebfa
# generated: 2026-05-28T17:58:11Z
# generator: paper/data/scripts/paired_contrasts.py
# key_schema: benchmark:agent:contrast:metric
# default_precision: 4
# Paired per-instance contrasts. contrast='A-vs-B' means metric_A - metric_B computed within each instance, averaged across instances. wilcoxon_p is the paired Wilcoxon signed-rank two-sided p-value.
benchmark,agent,contrast,metric,mean_delta,se,ci_lo,ci_hi,wilcoxon_p,n_pairs,mean_a,mean_b
artifact,claude,code_only-vs-tool_rich,pass,-0.010752688172043012,0.006140217642152267,-0.022787514750661455,0.0012821384065754317,0.0832645166635504,93,0.9749103942652331,0.9856630824372761
artifact,claude,code_only-vs-tool_rich,cost,-0.04183697204301075,0.005816340112580817,-0.05323699866366915,-0.030436945422352348,2.696051253822097e-16,93,0.08000470322580645,0.1218416752688172
artifact,claude,code_only-vs-tool_rich,cost_adj,-0.041315639784946234,0.005854405138827616,-0.05279027385704836,-0.029841005712844107,3.262373072556213e-16,93,0.07884460322580646,0.12016024301075268
artifact,claude,code_only-vs-tool_rich,turns,-1.0465949820788532,0.1492445783096831,-1.339114355565832,-0.7540756085918743,7.220550561626881e-09,93,5.326164874551971,6.372759856630824
artifact,claude,code_only-vs-tool_rich,tool_calls,-0.19354838709677424,0.16641890425067163,-0.5197294394280907,0.13263266523454215,0.1747205168632452,93,2.6272401433691757,2.8207885304659497
artifact,claude,code_only-vs-tool_rich,llm_calls,-1.903225806451613,0.21383870552038053,-2.322349669271559,-1.4841019436316671,1.3393176010502623e-11,93,7.240143369175628,9.14336917562724
artifact,claude,code_only-vs-tool_rich,wall,-18.480286738351257,16.229451881302175,-50.29001242570352,13.329438949001005,0.8978632237383464,93,45.007168458781365,63.48745519713261
artifact,claude,code_only-vs-tool_rich,input_tokens,-73676.81362007168,4153.401172814151,-81817.47991878742,-65536.14732135595,5.5719648223844e-17,93,44842.913978494624,118519.7275985663
artifact,claude,code_only-vs-tool_rich,cached_input_tokens,-70569.53046594982,3916.5001712470307,-78245.870801594,-62893.190130305644,5.5719648223844e-17,93,36241.591397849465,106811.12186379929
artifact,claude,code_only-vs-tool_rich,output_tokens,-604.9784946236559,274.5678899678618,-1143.1315589606652,-66.82543028664679,0.14486187116837038,93,2373.3225806451615,2978.3010752688174
artifact,claude,code_only-vs-bash_only,pass,-5.968940992608369e-19,0.00882711902220627,-0.017301153283524287,0.017301153283524287,0.7388826803635273,93,0.9749103942652331,0.9749103942652331
artifact,claude,code_only-vs-bash_only,cost,-0.025880506989247314,0.0028095857509902833,-0.03138729506118827,-0.02037371891730636,5.1853735284672225e-14,93,0.08000470322580645,0.10588521021505376
