# source_commit: 050947f44fb7dec5793e05700cd01bdd5942ebfa
# generated: 2026-05-28T17:58:11Z
# generator: paper/data/scripts/paired_contrasts.py
# key_schema: benchmark:agent:arm:metric
# default_precision: 4
# Per-arm marginal means. mean = average over per-instance means (themselves the mean across seeds); SE = SD_instance / sqrt(n_instances).
benchmark,agent,arm,metric,mean,se,n
artifact,claude,code_only,pass,0.9749103942652331,0.009168538831279731,93
artifact,claude,code_only,cost,0.08000470322580645,0.004423443968970676,93
artifact,claude,code_only,cost_adj,0.07884460322580646,0.004414799493727977,93
artifact,claude,code_only,turns,5.326164874551971,0.22550818724093302,93
artifact,claude,code_only,tool_calls,2.6272401433691757,0.17645772737632634,93
artifact,claude,code_only,llm_calls,7.240143369175628,0.31363676796091977,93
artifact,claude,code_only,wall,45.007168458781365,3.293729899985751,93
artifact,claude,code_only,input_tokens,44842.913978494624,2759.5484819325957,93
artifact,claude,code_only,cached_input_tokens,36241.591397849465,2499.059612267885,93
artifact,claude,code_only,output_tokens,2373.3225806451615,186.3830096625868,93
artifact,claude,tool_rich,pass,0.9856630824372761,0.007050613075183806,93
artifact,claude,tool_rich,cost,0.1218416752688172,0.0075777320737147385,93
artifact,claude,tool_rich,cost_adj,0.12016024301075268,0.007622034228416373,93
artifact,claude,tool_rich,turns,6.372759856630824,0.2121479175767435,93
artifact,claude,tool_rich,tool_calls,2.8207885304659497,0.13661224051719523,93
artifact,claude,tool_rich,llm_calls,9.14336917562724,0.35621181775768973,93
artifact,claude,tool_rich,wall,63.48745519713261,15.979012941437075,93
artifact,claude,tool_rich,input_tokens,118519.7275985663,5924.3428523284,93
artifact,claude,tool_rich,cached_input_tokens,106811.12186379929,5532.4443855844665,93
artifact,claude,tool_rich,output_tokens,2978.3010752688174,323.5636186760642,93
artifact,claude,bash_only,pass,0.9749103942652331,0.010489746471900527,93
artifact,claude,bash_only,cost,0.10588521021505376,0.0054972674854644275,93
artifact,claude,bash_only,cost_adj,0.1045626940860215,0.005386314263223568,93
artifact,claude,bash_only,turns,6.053763440860215,0.20571103730869883,93
artifact,claude,bash_only,tool_calls,3.0394265232974913,0.13730350851626136,93
artifact,claude,bash_only,llm_calls,8.405017921146953,0.33007797423644825,93
artifact,claude,bash_only,wall,40.77777777777778,3.1778990660472584,93
artifact,claude,bash_only,input_tokens,67566.20788530466,3053.340878315353,93
artifact,claude,bash_only,cached_input_tokens,53731.229390681,2765.8050843768633,93
artifact,claude,bash_only,output_tokens,2443.0967741935483,222.63820450440747,93
artifact,codex,code_only,pass,0.9856630824372761,0.011297308306324501,93
artifact,codex,code_only,cost,0.10062265591397848,0.003667416259118561,93
artifact,codex,code_only,cost_adj,0.08195117204301075,0.003419659034058138,93
artifact,codex,code_only,turns,1.0,0.0,93
artifact,codex,code_only,tool_calls,2.4050179211469533,0.09734534989544957,93
artifact,codex,code_only,llm_calls,4.405017921146953,0.09734534989544957,93
artifact,codex,code_only,wall,37.39784946236559,1.5628676020918677,93
artifact,codex,code_only,input_tokens,39493.215053763444,1306.5212571076468,93
artifact,codex,code_only,cached_input_tokens,29593.232974910392,1226.0253952926387,93
artifact,codex,code_only,output_tokens,1210.8709677419354,58.87130656698123,93
artifact,codex,tool_rich,pass,0.989247311827957,0.01075268817204301,93
artifact,codex,tool_rich,cost,0.11389834408602151,0.004237385925818444,93
artifact,codex,tool_rich,cost_adj,0.10156079569892473,0.0042927324039924684,93
artifact,codex,tool_rich,turns,1.0,0.0,93
artifact,codex,tool_rich,tool_calls,6.082437275985662,0.2208342140392784,93
artifact,codex,tool_rich,llm_calls,5.566308243727598,0.10927875264839715,93
artifact,codex,tool_rich,wall,40.236559139784944,1.792880232316519,93
artifact,codex,tool_rich,input_tokens,52718.65232974911,1596.965893477208,93
artifact,codex,tool_rich,cached_input_tokens,42479.48387096774,1419.6580704699431,93
artifact,codex,tool_rich,output_tokens,1338.3655913978494,68.7864442086912,93
artifact,codex,bash_only,pass,0.9605734767025089,0.01826841351504113,93
artifact,codex,bash_only,cost,0.09378006451612904,0.005039998344574639,93
artifact,codex,bash_only,cost_adj,0.08783425806451613,0.0047662198580002944,93
artifact,codex,bash_only,turns,1.0,0.0,93
artifact,codex,bash_only,tool_calls,3.6810035842293907,0.20089625544425962,93
artifact,codex,bash_only,llm_calls,5.043010752688172,0.13340595326918195,93
artifact,codex,bash_only,wall,36.66308243727598,2.033021091963177,93
artifact,codex,bash_only,input_tokens,46878.47311827957,1958.7424283878624,93
artifact,codex,bash_only,cached_input_tokens,39543.28315412186,1659.102008042577,93
artifact,codex,bash_only,output_tokens,1244.415770609319,81.77102694818929,93
swebench,claude,baseline,pass,0.5166666666666666,0.046026147840906174,100
swebench,claude,baseline,cost,0.5166782718333333,0.06817505786987635,100
swebench,claude,baseline,cost_adj,0.5121013848333333,0.06808008953788236,100
swebench,claude,baseline,turns,21.14,1.8619720909133057,100
swebench,claude,baseline,tool_calls,14.463333333333333,1.6621683065312045,100
swebench,claude,baseline,llm_calls,43.03333333333333,3.8513294452788416,100
swebench,claude,baseline,wall,235.32,27.127739113408673,100
swebench,claude,baseline,input_tokens,658613.79,112084.49141803202,100
swebench,claude,baseline,cached_input_tokens,634933.1533333333,110034.2981543194,100
swebench,claude,baseline,output_tokens,11138.46,1345.2448450139432,100
swebench,claude,onlycode,pass,0.5,0.04629966317723572,100
swebench,claude,onlycode,cost,0.58742172675,0.08134282407073787,100
swebench,claude,onlycode,cost_adj,0.58603623525,0.0813204581908062,100
swebench,claude,onlycode,turns,30.761666666666667,2.5276653932170965,100
swebench,claude,onlycode,tool_calls,15.34,1.3459669149079914,100
swebench,claude,onlycode,llm_calls,50.11,4.530522635804323,100
swebench,claude,onlycode,wall,289.81166666666667,32.92408850863725,100
swebench,claude,onlycode,input_tokens,829668.44,148352.92657661397,100
swebench,claude,onlycode,cached_input_tokens,800220.2916666667,145621.7013851563,100
swebench,claude,onlycode,output_tokens,15578.281666666668,1814.2461260632303,100
swebench,claude,bash_only,pass,0.51,0.04701051772375458,100
swebench,claude,bash_only,cost,0.586930081,0.07778579016035246,100
swebench,claude,bash_only,cost_adj,0.5833413129999999,0.07773290867965488,100
swebench,claude,bash_only,turns,31.04,2.5332636885695328,100
swebench,claude,bash_only,tool_calls,13.906666666666668,1.242775576505187,100
swebench,claude,bash_only,llm_calls,48.92,4.003113602999361,100
swebench,claude,bash_only,wall,278.4633333333333,32.23960307791914,100
swebench,claude,bash_only,input_tokens,903219.8633333333,146552.83254199207,100
swebench,claude,bash_only,cached_input_tokens,874400.6533333333,144008.89862731233,100
swebench,claude,bash_only,output_tokens,14368.3,1718.584173558263,100
swebench,codex,baseline,pass,0.4633333333333334,0.04735305701830322,100
swebench,codex,baseline,cost,0.6692086899999999,0.03703711999021843,100
swebench,codex,baseline,cost_adj,0.64450981,0.036858554708919924,100
swebench,codex,baseline,turns,1.0,0.0,100
swebench,codex,baseline,tool_calls,25.736666666666665,1.127767029853746,100
swebench,codex,baseline,llm_calls,19.046666666666667,0.83015582759626,100
swebench,codex,baseline,wall,119.69333333333334,5.7949176230673825,100
swebench,codex,baseline,input_tokens,557671.23,42806.704287522116,100
swebench,codex,baseline,cached_input_tokens,502394.88,40892.958761557806,100
swebench,codex,baseline,output_tokens,4720.983333333334,229.74587807676986,100
swebench,codex,onlycode,pass,0.4666666666666666,0.04737793696791343,100
swebench,codex,onlycode,cost,0.5497583666666667,0.028021424669963997,100
swebench,codex,onlycode,cost_adj,0.5161967666666666,0.02795137223762701,100
swebench,codex,onlycode,turns,1.0,0.0,100
swebench,codex,onlycode,tool_calls,16.89666666666667,0.7282914372065743,100
swebench,codex,onlycode,llm_calls,18.863333333333333,0.7280818240668255,100
swebench,codex,onlycode,wall,121.63,5.711612002953137,100
swebench,codex,onlycode,input_tokens,419346.61333333334,27871.909869700088,100
swebench,codex,onlycode,cached_input_tokens,375014.4,26248.61676833228,100
swebench,codex,onlycode,output_tokens,4686.336666666667,225.67386868111126,100
swebench,codex,bash_only,pass,0.45333333333333337,0.04630451105570325,100
swebench,codex,bash_only,cost,0.7010066966666666,0.03360672979553404,100
swebench,codex,bash_only,cost_adj,0.6756550166666666,0.03362666212606185,100
swebench,codex,bash_only,turns,1.0,0.0,100
swebench,codex,bash_only,tool_calls,25.176666666666666,0.9181968251154414,100
swebench,codex,bash_only,llm_calls,18.85,0.6636526987827077,100
swebench,codex,bash_only,wall,132.70333333333335,5.53845630155776,100
swebench,codex,bash_only,input_tokens,583546.1233333334,41448.16040693759,100
swebench,codex,bash_only,cached_input_tokens,528211.6266666666,40072.81427428349,100
swebench,codex,bash_only,output_tokens,5340.946666666667,230.39066839501484,100
