benchmark,dataset,instance_id,seed,agent,arm,run,verdict,cost_usd,num_turns,tool_calls,llm_calls,wall_secs,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,first_call_input_tokens,first_call_cache_read,cost_usd_adjusted,cache_floor_moved_tokens,agent_surface,agent_version,result_path
swebench,swebench-datasci-mini,astropy__astropy-12962,1,claude,baseline,1,FAIL,0.22110324999999997,14,4,25,84,307302,288455,4164,,12590,10231,0.22110324999999997,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-12962_baseline_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-12962,1,claude,bash_only,1,FAIL,0.16000685,19,7,31,70,195151,183667,4028,,5100,3668,0.16000685,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-12962_bash_only_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-12962,1,claude,onlycode,1,FAIL,0.16353830000000003,18,8,28,91,142402,130291,5136,,3289,1289,0.16353830000000003,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-12962_onlycode_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-13842,1,claude,baseline,1,FAIL,1.1633370999999997,37,57,123,623,1096203,1049631,24917,,12307,10231,1.1633370999999997,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-13842_baseline_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-13842,1,claude,bash_only,1,FAIL,1.11603695,44,18,68,615,1240537,1182519,36173,,4817,0,1.1061333500000001,3668,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-13842_bash_only_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-13842,1,claude,onlycode,1,FAIL,2.29066035,92,35,152,1030,4002428,3922322,54128,,3006,1289,2.29066035,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-13842_onlycode_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-6938,1,claude,baseline,1,FAIL,0.10152600000000002,4,4,10,18,49685,36674,648,,11839,0,0.07390230000000002,10231,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-6938_baseline_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-6938,1,claude,bash_only,1,FAIL,0.11100755000000001,14,8,19,59,117740,109996,3219,,4349,3668,0.11100755000000001,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-6938_bash_only_run1.jsonl
swebench,swebench-datasci-mini,astropy__astropy-6938,1,claude,onlycode,1,FAIL,0.16962449999999998,21,13,33,124,143872,131960,5602,,2538,1289,0.16962449999999998,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/astropy__astropy-6938_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-11790,1,claude,baseline,1,PASS,0.11247469999999998,10,2,18,49,147266,140179,2877,,11847,10231,0.11247469999999998,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11790_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-11790,1,claude,bash_only,1,FAIL,0.16445045000000003,16,5,26,104,199626,185209,3611,,4357,3668,0.16445045000000003,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11790_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-11790,1,claude,onlycode,1,FAIL,0.11917955,14,7,21,73,79180,68616,3849,,2543,0,0.11569924999999999,1289,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11790_onlycode_run1.jsonl
