# source_commit: 050947f44fb7dec5793e05700cd01bdd5942ebfa
# generated: 2026-05-28T19:21:23Z
# generator: paper/investigations/edit_friction_analysis.py (one-shot HF fetch + parse)
# key_schema: instance_id
# default_precision: 0
# Per-instance gold-patch size metrics for SWE-bench instances in our 100-instance subset. Sourced from princeton-nlp/SWE-bench_Verified + princeton-nlp/SWE-bench (test split) via HuggingFace at generation time. Treated as static input to the paper build (no network at make-values time).
instance_id,patch_lines_added,patch_lines_removed,patch_lines_changed,patch_files_touched
astropy__astropy-12962,23,4,27,1
astropy__astropy-13842,7,5,12,2
astropy__astropy-6938,1,1,2,1
django__django-11790,3,1,4,1
django__django-11815,4,3,7,1
django__django-11848,7,3,10,1
django__django-11880,1,0,1,1
django__django-11885,70,60,130,2
django__django-11951,2,1,3,1
django__django-11964,7,1,8,1
django__django-11999,6,2,8,1
django__django-12039,9,3,12,1
django__django-12050,4,15,19,1
django__django-12143,3,1,4,1
django__django-12155,6,17,23,2
django__django-12193,1,3,4,1
django__django-12209,1,0,1,1
django__django-12262,1,1,2,1
django__django-12273,3,0,3,1
django__django-12276,3,3,6,1
django__django-12304,1,0,1,1
django__django-12308,5,0,5,1
django__django-12325,2,6,8,2
django__django-12406,10,7,17,2
django__django-12708,6,1,7,1
django__django-12713,19,11,30,1
django__django-12774,11,1,12,1
django__django-9296,4,0,4,1
matplotlib__matplotlib-13859,6,6,12,1
matplotlib__matplotlib-19763,34,17,51,1
matplotlib__matplotlib-21042,5,2,7,1
matplotlib__matplotlib-22767,6,1,7,1
matplotlib__matplotlib-23088,22,14,36,1
matplotlib__matplotlib-23476,3,0,3,1
matplotlib__matplotlib-24177,1,1,2,1
matplotlib__matplotlib-24637,2,0,2,1
matplotlib__matplotlib-25126,1,0,1,1
matplotlib__matplotlib-25442,14,17,31,1
matplotlib__matplotlib-25772,2,1,3,1
matplotlib__matplotlib-26160,72,2,74,2
mwaskom__seaborn-2389,12,22,34,1
mwaskom__seaborn-2813,5,2,7,3
mwaskom__seaborn-2946,6,1,7,1
mwaskom__seaborn-3069,13,2,15,1
mwaskom__seaborn-3202,4,5,9,2
pydata__xarray-2905,2,1,3,1
pydata__xarray-3520,15,7,22,2
pydata__xarray-4075,8,1,9,1
pydata__xarray-4629,1,1,2,1
pydata__xarray-4911,18,12,30,3
pydata__xarray-5455,73,35,108,10
pydata__xarray-6601,1,1,2,1
pydata__xarray-7003,19,3,22,1
scikit-learn__scikit-learn-10427,503,23,526,3
scikit-learn__scikit-learn-10803,28,5,33,1
scikit-learn__scikit-learn-11206,89,44,133,5
scikit-learn__scikit-learn-11596,123,1,124,2
scikit-learn__scikit-learn-12704,1,1,2,1
scikit-learn__scikit-learn-13013,35,73,108,9
scikit-learn__scikit-learn-13283,63,22,85,1
scikit-learn__scikit-learn-13496,9,1,10,1
scikit-learn__scikit-learn-13864,7,7,14,1
scikit-learn__scikit-learn-14125,3,3,6,1
scikit-learn__scikit-learn-14710,4,0,4,1
scikit-learn__scikit-learn-15094,2,0,2,1
scikit-learn__scikit-learn-24677,47,22,69,1
scikit-learn__scikit-learn-25694,3,1,4,1
scikit-learn__scikit-learn-3840,28,2,30,1
sphinx-doc__sphinx-10323,2,2,4,1
sphinx-doc__sphinx-10435,3,3,6,1
sphinx-doc__sphinx-10466,2,1,3,1
sphinx-doc__sphinx-10673,23,3,26,3
sphinx-doc__sphinx-11510,36,0,36,1
sphinx-doc__sphinx-7590,89,18,107,3
sphinx-doc__sphinx-7748,63,27,90,1
sphinx-doc__sphinx-7757,20,5,25,1
sphinx-doc__sphinx-7985,15,2,17,1
sphinx-doc__sphinx-8035,37,9,46,1
sphinx-doc__sphinx-8056,9,4,13,1
sphinx-doc__sphinx-8265,16,2,18,1
sphinx-doc__sphinx-8269,1,0,1,1
sphinx-doc__sphinx-8475,2,2,4,1
sphinx-doc__sphinx-8548,29,21,50,2
sphinx-doc__sphinx-8551,3,0,3,2
sphinx-doc__sphinx-8638,1,1,2,1
sphinx-doc__sphinx-8721,4,0,4,1
sphinx-doc__sphinx-9229,15,2,17,1
sphinx-doc__sphinx-9230,1,1,2,1
sphinx-doc__sphinx-9281,5,2,7,1
sphinx-doc__sphinx-9320,7,1,8,1
sphinx-doc__sphinx-9367,5,3,8,1
sphinx-doc__sphinx-9461,47,5,52,3
sphinx-doc__sphinx-9698,1,1,2,1
sympy__sympy-11232,211,49,260,5
sympy__sympy-13259,76,13,89,3
sympy__sympy-14180,21,1,22,1
sympy__sympy-15976,14,19,33,1
sympy__sympy-17318,5,4,9,2
sympy__sympy-19016,6,0,6,1
sympy__sympy-21596,21,16,37,1
