# source_commit: 415edd800a7b61e0f3420d709cb3e1b5fe6a36e4
# generated: 2026-05-30T15:09:33Z
# generator: paper/data/scripts/swebench_repos.py
# key_schema: corpus:repo
# default_precision: 0
# Per-(corpus, repo) instance counts for SWE-bench Mini (§4.1).
# corpus is `verified-mini` or `datasci-mini` (swebench- prefix stripped).
# Rows with repo=`total` are per-corpus subtotals; ('total','total') is the grand n.
corpus,repo,n,precision
datasci-mini,astropy,3,0
datasci-mini,matplotlib,12,0
datasci-mini,scikit-learn,15,0
datasci-mini,seaborn,5,0
datasci-mini,sympy,7,0
datasci-mini,xarray,8,0
verified-mini,django,25,0
verified-mini,sphinx,25,0
datasci-mini,total,50,0
verified-mini,total,50,0
total,total,100,0
