benchmark,agent,instance_id,patch_lines_added,patch_lines_removed,patch_lines_changed,patch_files_touched,baseline_cost_usd,baseline_cost_usd_adjusted,baseline_input_tokens,baseline_llm_calls,baseline_num_turns,baseline_output_tokens,baseline_pass,baseline_tool_calls,bash_only_cost_usd,bash_only_cost_usd_adjusted,bash_only_input_tokens,bash_only_llm_calls,bash_only_num_turns,bash_only_output_tokens,bash_only_pass,bash_only_tool_calls,delta_cost_usd_adjusted_bash_only_minus_baseline,delta_cost_usd_adjusted_onlycode_minus_baseline,delta_cost_usd_adjusted_onlycode_minus_bash_only,delta_cost_usd_bash_only_minus_baseline,delta_cost_usd_onlycode_minus_baseline,delta_cost_usd_onlycode_minus_bash_only,delta_input_tokens_bash_only_minus_baseline,delta_input_tokens_onlycode_minus_baseline,delta_input_tokens_onlycode_minus_bash_only,delta_llm_calls_bash_only_minus_baseline,delta_llm_calls_onlycode_minus_baseline,delta_llm_calls_onlycode_minus_bash_only,delta_num_turns_bash_only_minus_baseline,delta_num_turns_onlycode_minus_baseline,delta_num_turns_onlycode_minus_bash_only,delta_output_tokens_bash_only_minus_baseline,delta_output_tokens_onlycode_minus_baseline,delta_output_tokens_onlycode_minus_bash_only,delta_pass_bash_only_minus_baseline,delta_pass_onlycode_minus_baseline,delta_pass_onlycode_minus_bash_only,delta_tool_calls_bash_only_minus_baseline,delta_tool_calls_onlycode_minus_baseline,delta_tool_calls_onlycode_minus_bash_only,onlycode_cost_usd,onlycode_cost_usd_adjusted,onlycode_input_tokens,onlycode_llm_calls,onlycode_num_turns,onlycode_output_tokens,onlycode_pass,onlycode_tool_calls
swebench,claude,astropy__astropy-12962,23,4,27,1,0.1918160666666667,0.19149296666666668,252299.0,23.0,12.666666666666666,3915.3333333333335,0.0,3.0,0.18197535,0.18165135000000002,223386.66666666666,33.0,21.0,4592.666666666667,0.0,9.333333333333334,-0.009841616666666664,-0.015003700000000009,-0.005162083333333345,-0.009840716666666693,-0.014166700000000032,-0.004325983333333339,-28912.333333333343,-86541.66666666666,-57629.333333333314,10.0,6.666666666666668,-3.333333333333332,8.333333333333334,6.333333333333334,-2.0,677.3333333333335,1335.9999999999995,658.6666666666661,0.0,0.0,0.0,6.333333333333334,6.333333333333334,0.0,0.17764936666666667,0.17648926666666667,165757.33333333334,29.666666666666668,19.0,5251.333333333333,0.0,9.333333333333334
swebench,claude,astropy__astropy-13842,7,5,12,2,0.9402032833333331,0.930995383333333,743173.3333333334,89.33333333333333,24.666666666666668,17994.0,0.0,45.333333333333336,1.7052849666666663,1.6953813666666664,2742750.3333333335,113.66666666666667,68.0,42053.0,0.0,23.666666666666668,0.7643859833333334,1.3030289166666673,0.5386429333333338,0.7650816833333332,1.294981116666667,0.5298994333333338,1999577.0,3127552.333333333,1127975.333333333,24.333333333333343,49.000000000000014,24.66666666666667,43.33333333333333,59.66666666666666,16.33333333333333,24059.0,34819.0,10760.0,0.0,0.0,0.0,-21.666666666666668,-10.333333333333336,11.333333333333332,2.2351844,2.2340243,3870725.6666666665,138.33333333333334,84.33333333333333,52813.0,0.0,35.0
swebench,claude,astropy__astropy-6938,1,1,2,1,0.08995750000000001,0.0804265,69615.0,12.333333333333334,5.333333333333333,1159.0,0.0,4.333333333333333,0.10410888333333335,0.10048368333333335,95008.66666666667,18.333333333333332,12.666666666666666,2751.0,0.0,6.333333333333333,0.020057183333333353,0.07514196666666666,0.055084783333333304,0.014151383333333337,0.06677106666666664,0.052619683333333306,25393.66666666667,65252.33333333334,39858.66666666667,5.999999999999998,19.0,13.0,7.333333333333333,14.666666666666668,7.333333333333334,1592.0,3743.666666666667,2151.666666666667,0.0,0.0,0.0,2.0,6.666666666666667,4.666666666666667,0.15672856666666665,0.15556846666666665,134867.33333333334,31.333333333333332,20.0,4902.666666666667,0.0,11.0
swebench,claude,django__django-11790,3,1,4,1,0.1138657,0.11354169999999998,151164.66666666666,16.333333333333332,9.666666666666666,2631.0,1.0,2.6666666666666665,0.16120491666666667,0.16120491666666667,183765.0,29.333333333333332,19.0,4405.333333333333,0.0,7.666666666666667,0.04766321666666669,0.008294150000000028,-0.03936906666666666,0.04733921666666667,0.010290350000000004,-0.037048866666666666,32600.333333333343,-69370.99999999999,-101971.33333333333,13.0,4.666666666666668,-8.333333333333332,9.333333333333334,4.0,-5.333333333333334,1774.333333333333,1516.333333333333,-258.0,-1.0,-1.0,0.0,5.0,3.6666666666666665,-1.333333333333334,0.12415605,0.12183585000000001,81793.66666666667,21.0,13.666666666666666,4147.333333333333,0.0,6.333333333333333
swebench,claude,django__django-11815,4,3,7,1,0.21810159999999998,0.20856969999999997,229571.33333333334,28.666666666666668,14.666666666666666,4246.0,1.0,10.666666666666666,0.21764594999999998,0.21402074999999998,236546.66666666666,38.666666666666664,23.666666666666668,6097.666666666667,1.0,9.333333333333334,0.005451050000000013,0.013924733333333356,0.008473683333333343,-0.0004556500000000019,0.005552933333333343,0.006008583333333345,6975.333333333314,-30148.666666666686,-37124.0,9.999999999999996,6.666666666666668,-3.3333333333333286,9.000000000000002,6.666666666666666,-2.3333333333333357,1851.666666666667,3046.333333333333,1194.666666666666,0.0,0.0,0.0,-1.3333333333333321,-1.3333333333333321,0.0,0.22365453333333332,0.22249443333333332,199422.66666666666,35.333333333333336,21.333333333333332,7292.333333333333,1.0,9.333333333333334
swebench,claude,django__django-11848,7,3,10,1,0.06724353333333333,0.057711633333333325,72241.0,10.333333333333334,6.0,1357.3333333333333,0.6666666666666666,1.0,0.08004923333333334,0.07312283333333335,55883.0,14.333333333333334,8.333333333333334,2202.6666666666665,1.0,2.6666666666666665,0.01541120000000002,0.01958071666666667,0.0041695166666666506,0.012805700000000017,0.011208916666666666,-0.0015967833333333514,-16358.0,-23868.0,-7510.0,4.0,6.999999999999998,2.9999999999999982,2.333333333333334,5.0,2.666666666666666,845.3333333333333,1541.3333333333333,696.0,0.33333333333333337,0.0,-0.33333333333333337,1.6666666666666665,4.333333333333333,2.6666666666666665,0.07845244999999999,0.07729235,48373.0,17.333333333333332,11.0,2898.6666666666665,0.6666666666666666,5.333333333333333
swebench,claude,django__django-11880,1,0,1,1,0.050403833333333335,0.05007983333333333,68097.66666666667,8.333333333333334,5.333333333333333,1150.0,1.0,1.3333333333333333,0.07101795,0.061114350000000005,57829.333333333336,12.333333333333334,9.0,1409.6666666666667,1.0,4.666666666666667,0.011034516666666674,0.01009613333333334,-0.0009383833333333341,0.02061411666666666,0.010932233333333333,-0.009681883333333328,-10268.333333333336,-32920.333333333336,-22652.0,4.0,5.0,1.0,3.666666666666667,3.666666666666667,0.0,259.66666666666674,976.0,716.3333333333333,0.0,0.0,0.0,3.333333333333334,2.666666666666667,-0.666666666666667,0.06133606666666667,0.06017596666666667,35177.333333333336,13.333333333333334,9.0,2126.0,1.0,4.0
swebench,claude,django__django-11885,70,60,130,2,0.9419628499999999,0.93243095,1234166.3333333333,70.0,36.333333333333336,25018.666666666668,1.0,10.333333333333334,0.8882677,0.8879437,1024446.0,58.666666666666664,34.666666666666664,25220.0,1.0,13.0,-0.04448724999999998,-0.04860224999999996,-0.00411499999999998,-0.053695149999999914,-0.05697404999999989,-0.0032788999999999735,-209720.33333333326,-145986.6666666665,63733.666666666744,-11.333333333333336,1.6666666666666714,13.000000000000007,-1.6666666666666714,2.3333333333333286,4.0,201.33333333333212,-51.33333333333576,-252.66666666666788,0.0,0.0,0.0,2.666666666666666,5.999999999999998,3.333333333333332,0.8849888,0.8838287,1088179.6666666667,71.66666666666667,38.666666666666664,24967.333333333332,1.0,16.333333333333332
swebench,claude,django__django-11951,2,1,3,1,0.06593375,0.06560975000000001,90411.33333333333,13.0,7.333333333333333,1406.3333333333333,1.0,1.3333333333333333,0.0466008,0.0466008,46834.0,10.333333333333334,7.333333333333333,1226.3333333333333,1.0,3.3333333333333335,-0.01900895000000001,-0.00476208333333334,0.01424686666666667,-0.01933295,-0.003925983333333334,0.015406966666666667,-43577.33333333333,-49716.33333333333,-6139.0,-2.666666666666666,0.6666666666666661,3.333333333333332,0.0,2.333333333333333,2.333333333333333,-180.0,562.3333333333335,742.3333333333335,0.0,0.0,0.0,2.0,4.333333333333334,2.3333333333333335,0.062007766666666665,0.06084766666666667,40695.0,13.666666666666666,9.666666666666666,1968.6666666666667,1.0,5.666666666666667
swebench,claude,django__django-11964,7,1,8,1,0.37166381666666665,0.37133981666666666,255394.66666666666,59.666666666666664,15.333333333333334,4521.333333333333,1.0,34.333333333333336,0.19627745,0.19627745,201225.0,28.333333333333332,15.666666666666666,5340.333333333333,1.0,3.3333333333333335,-0.17506236666666666,-0.184408,-0.009345633333333325,-0.17538636666666665,-0.18357189999999998,-0.008185533333333328,-54169.66666666666,-96090.66666666666,-41921.0,-31.333333333333332,-29.999999999999996,1.3333333333333357,0.33333333333333215,1.9999999999999982,1.666666666666666,819.0,1408.333333333334,589.3333333333339,0.0,0.0,0.0,-31.000000000000004,-26.333333333333336,4.666666666666666,0.18809191666666666,0.18693181666666667,159304.0,29.666666666666668,17.333333333333332,5929.666666666667,1.0,8.0
swebench,claude,django__django-11999,6,2,8,1,0.12875845,0.12843445,90043.0,21.666666666666668,6.666666666666667,2147.6666666666665,1.0,11.666666666666666,0.07350158333333334,0.07317758333333334,74974.66666666667,16.333333333333332,11.0,2199.6666666666665,1.0,5.333333333333333,-0.05525686666666667,-0.04900796666666668,0.006248899999999988,-0.055256866666666654,-0.04817186666666666,0.007084999999999994,-15068.333333333328,-42296.0,-27227.66666666667,-5.333333333333336,-5.333333333333336,0.0,4.333333333333333,4.333333333333333,0.0,52.0,821.666666666667,769.666666666667,0.0,0.0,0.0,-6.333333333333333,-5.999999999999999,0.3333333333333339,0.08058658333333334,0.07942648333333333,47747.0,16.333333333333332,11.0,2969.3333333333335,1.0,5.666666666666667
swebench,claude,django__django-12039,9,3,12,1,0.10564334999999998,0.10531934999999999,130083.33333333333,14.0,8.333333333333334,2612.6666666666665,1.0,2.3333333333333335,0.09038144999999999,0.09005744999999998,72876.66666666667,16.666666666666668,10.0,2861.0,1.0,3.0,-0.015261900000000009,0.01364725,0.02890915000000001,-0.015261899999999995,0.014483350000000006,0.02974525,-57206.66666666666,-47917.0,9289.666666666657,2.666666666666668,5.0,2.333333333333332,1.666666666666666,4.0,2.333333333333334,248.33333333333348,1418.3333333333335,1170.0,0.0,0.0,0.0,0.6666666666666665,3.6666666666666665,3.0,0.12012669999999999,0.11896659999999999,82166.33333333333,19.0,12.333333333333334,4031.0,1.0,6.0
