order_id,region,status,placed_at_utc
ord-000000,apac,placed,2026-04-04T22:25:48Z
ord-000003,apac,fulfilled,2026-04-06T01:29:12Z
ord-000004,apac,fulfilled,2026-04-02T01:24:37Z
ord-000005,apac,placed,2026-04-06T11:39:52Z
ord-000006,apac,placed,2026-04-10T06:40:30Z
ord-000007,apac,fulfilled,2026-04-09T07:47:36Z
ord-000008,eu,placed,2026-04-06T03:47:49Z
ord-000009,eu,fulfilled,2026-04-02T21:14:03Z
ord-000010,na,placed,2026-04-09T16:33:27Z
ord-000011,apac,placed,2026-04-09T18:50:50Z
ord-000012,apac,placed,2026-04-06T04:59:53Z
ord-000013,eu,placed,2026-04-03T06:01:28Z
ord-000014,eu,fulfilled,2026-04-05T01:38:35Z
ord-000015,na,placed,2026-04-05T09:59:39Z
ord-000016,na,fulfilled,2026-04-02T23:01:03Z
ord-000017,na,fulfilled,2026-04-04T21:13:04Z
ord-000018,apac,fulfilled,2026-04-07T04:18:23Z
ord-000019,na,placed,2026-04-05T20:13:04Z
ord-000020,eu,fulfilled,2026-04-05T15:34:40Z
ord-000021,apac,fulfilled,2026-04-07T10:52:46Z
ord-000022,eu,fulfilled,2026-04-09T06:22:41Z
ord-000023,na,placed,2026-04-07T10:33:04Z
ord-000024,eu,placed,2026-04-02T23:15:21Z
ord-000025,apac,fulfilled,2026-04-02T02:48:53Z
ord-000026,na,fulfilled,2026-04-10T11:51:20Z
ord-000027,na,placed,2026-04-09T00:00:14Z
ord-000028,na,placed,2026-04-01T14:12:51Z
ord-000029,na,placed,2026-04-07T04:12:32Z
ord-000030,eu,placed,2026-04-10T21:34:38Z
ord-000032,na,fulfilled,2026-04-10T19:51:17Z
ord-000034,na,placed,2026-04-07T04:45:42Z
ord-000035,eu,fulfilled,2026-04-09T05:25:54Z
ord-000036,eu,placed,2026-04-05T11:11:29Z
ord-000037,apac,fulfilled,2026-04-03T16:07:01Z
ord-000038,eu,fulfilled,2026-04-06T09:45:10Z
ord-000040,na,fulfilled,2026-04-04T14:49:26Z
ord-000041,eu,fulfilled,2026-04-05T01:28:08Z
ord-000044,eu,fulfilled,2026-04-07T13:23:32Z
ord-000046,apac,placed,2026-04-05T17:04:01Z
ord-000047,na,fulfilled,2026-04-05T20:29:45Z
ord-000048,na,placed,2026-04-03T09:13:10Z
ord-000049,na,placed,2026-04-06T17:10:31Z
ord-000051,na,fulfilled,2026-04-07T13:17:31Z
ord-000052,na,placed,2026-04-01T14:32:44Z
ord-000053,na,placed,2026-04-03T09:03:22Z
ord-000054,na,fulfilled,2026-04-08T07:46:54Z
ord-000055,na,fulfilled,2026-04-04T07:26:25Z
ord-000056,na,placed,2026-04-03T15:40:14Z
ord-000057,apac,placed,2026-04-07T16:55:40Z
ord-000058,eu,fulfilled,2026-04-02T22:59:12Z
ord-000060,apac,fulfilled,2026-04-09T10:25:13Z
ord-000061,apac,fulfilled,2026-04-07T08:03:48Z
ord-000062,na,placed,2026-04-10T13:12:52Z
ord-000063,na,placed,2026-04-08T17:40:59Z
ord-000064,na,placed,2026-04-07T18:16:10Z
ord-000065,apac,placed,2026-04-01T13:35:03Z
ord-000066,na,placed,2026-04-06T02:07:08Z
ord-000067,eu,placed,2026-04-04T02:05:17Z
ord-000069,eu,fulfilled,2026-04-08T02:35:55Z
ord-000070,na,placed,2026-04-09T00:55:10Z
ord-000071,eu,placed,2026-04-02T03:10:29Z
ord-000072,na,placed,2026-04-04T19:28:48Z
ord-000073,eu,fulfilled,2026-04-06T17:28:40Z
ord-000074,na,fulfilled,2026-04-04T04:10:29Z
ord-000076,eu,placed,2026-04-02T11:23:35Z
ord-000079,apac,placed,2026-04-09T15:13:06Z
ord-000080,na,placed,2026-04-09T00:04:48Z
ord-000081,eu,placed,2026-04-01T06:30:00Z
ord-000082,na,fulfilled,2026-04-07T22:42:12Z
ord-000083,na,fulfilled,2026-04-08T05:21:09Z
ord-000084,eu,placed,2026-04-08T02:47:47Z
ord-000086,apac,fulfilled,2026-04-01T09:30:51Z
ord-000087,apac,fulfilled,2026-04-07T15:43:51Z
ord-000088,na,fulfilled,2026-04-10T09:42:11Z
ord-000089,eu,fulfilled,2026-04-06T20:02:20Z
ord-000090,eu,fulfilled,2026-04-04T17:25:38Z
ord-000091,eu,fulfilled,2026-04-08T11:35:59Z
ord-000092,na,placed,2026-04-07T01:11:36Z
ord-000094,na,placed,2026-04-06T03:29:12Z
ord-000095,eu,fulfilled,2026-04-05T05:45:02Z
ord-000096,eu,placed,2026-04-09T16:53:50Z
ord-000097,eu,fulfilled,2026-04-02T05:00:21Z
