product_id,quantity,unit_price
P025,16,314.58
P025,2,105.76
P018,5,464.2
P015,16,65.11
P021,20,400.66
P023,6,158.82
P001,18,206.96
P008,4,233.42
P004,5,251.7
P023,10,256.89
P009,14,418.19
P016,8,231.11
P005,13,99.35
P020,17,374.41
P005,3,141.74
P014,11,467.45
P017,9,411.17
P010,10,419.55
P019,16,433.3
P015,18,244.75
P011,18,382.62
P013,15,466.76
P007,8,288.04
P008,14,26.61
P024,16,354.09
P013,13,494.26
P021,5,250.19
P002,5,253.63
P019,11,435.5
P015,4,265.35
P015,1,362.61
P014,5,42.04
P009,11,313.51
P013,3,426.62
P022,18,193.1
P011,16,436.83
P002,20,38.87
P021,10,498.73
P024,3,219.82
P004,4,224.62
P023,10,452.19
P002,11,399.09
P010,12,190.55
P005,8,267.93
P019,6,89.14
P003,20,436.07
P020,8,251.35
P019,5,119.93
P021,9,232.49
P022,1,449.96
P015,10,340.42
P006,3,223.66
P012,19,153.08
P014,9,231.13
P010,7,499.69
P016,4,122.42
P019,12,289.53
P023,10,15.86
P022,13,140.87
P019,2,455.76
P024,16,417.26
P010,8,305.5
P012,8,320.13
P020,9,340.49
P024,5,315.98
P021,2,157.92
P015,2,291.89
P024,5,49.62
P010,11,375.0
P006,7,70.42
P018,12,267.77
P009,6,132.2
P016,10,374.55
P011,4,236.82
P003,5,378.3
P008,13,483.8
P018,12,49.7
P013,1,135.91
P004,15,187.45
P024,9,294.36
P021,12,58.63
P008,16,17.39
P018,11,458.05
P008,3,319.52
P015,10,326.37
P004,5,27.45
P002,10,497.98
P004,4,121.23
P018,5,197.38
P012,18,212.47
P024,5,443.28
P021,4,417.68
P020,14,469.83
P009,2,346.69
P007,15,225.12
P008,12,54.18
P022,12,274.51
P021,12,34.97
P009,7,484.26
P015,3,333.07
P021,20,485.69
P002,11,125.57
P005,19,106.58
P025,18,107.54
P007,8,167.64
P005,20,6.4
P005,5,272.41
P006,4,332.22
P001,5,12.36
P008,19,165.27
P006,9,30.94
P024,14,265.41
P024,3,240.74
P025,12,259.05
P004,15,254.4
P020,2,364.99
P022,17,154.31
P021,1,35.11
P016,13,216.01
P004,16,357.64
P015,3,450.14
P011,20,78.43
P005,9,314.04
P019,18,357.52
P013,20,267.63
P015,17,304.69
P004,4,427.13
P021,18,361.82
P007,14,228.52
P008,14,172.77
P015,13,210.91
P004,11,216.25
P022,9,190.28
P005,16,38.23
P003,3,218.78
P024,12,406.83
P018,2,295.3
P018,18,168.17
P004,14,180.03
P022,14,434.71
P024,2,484.36
P020,10,179.06
P019,17,110.31
P022,16,116.0
P004,12,423.46
P012,4,382.49
P019,8,404.57
P018,20,308.72
P021,18,18.0
P022,9,19.33
P009,10,461.16
P012,1,94.8
P005,19,330.39
P003,5,371.78
P001,3,374.33
P007,13,212.82
P011,6,188.18
P024,11,389.53
P019,20,47.05
